scenario,radar_mean,radar_std,radar_nz_mean,radar_nz_std,lidar_mean,lidar_std,lidar_nz_mean,lidar_nz_std,baro_mean,baro_std,gnss_mean,gnss_std
grass with reflector,5.065389663367476,0.5066132286318158,5.065389663367476,0.5066132286318158,5.50475399009788,0.02082612725195388,5.50475399009788,0.02082612725195388,181.2986720239111,0.23315900357347882,181.31896551724142,0.07060550079117421
asphalt with reflector,9.00359503147399,0.6977930699240107,9.00359503147399,0.6977930699240107,5.745228626349544,0.09510258887876571,5.745228626349544,0.09510258887876571,181.17165417032876,0.25655092029739335,179.92328767123288,0.12662158913196006
grass,5.779438472258631,0.5890567010072703,5.779438472258631,0.5890567010072703,6.038365859261448,0.06478218275136775,6.038365859261448,0.06478218275136775,181.39225963806555,0.23036169024997016,181.18805970149253,0.13441125137216134
